timestamp,window_title,process_name
2025-05-01 20:56:07,main.py - distract_free - Trae,Trae.exe
2025-05-01 20:56:16,,<unknown>
2025-05-01 20:56:17,PropertyScorer Experiment UI - Google Chrome,chrome.exe
2025-05-01 20:56:23,main.py - distract_free - Trae,Trae.exe
2025-05-01 20:56:25,scoring_system – main.py,pycharm64.exe
2025-05-01 20:56:26,main.py - distract_free - Trae,Trae.exe
2025-05-01 20:56:27,Distraction Identification Tool - Google Chrome,chrome.exe
2025-05-01 20:56:29,main.py - distract_free - Trae,Trae.exe
2025-05-01 20:56:34,Distraction Identification Tool - Google Chrome,chrome.exe
2025-05-01 20:56:36,New Tab - Google Chrome,chrome.exe
2025-05-01 20:56:38,YouTube - Google Chrome,chrome.exe
2025-05-01 20:56:42,(58) YouTube - Google Chrome,chrome.exe
2025-05-01 20:56:44,main.py - distract_free - Trae,Trae.exe
2025-05-01 20:56:46,(58) YouTube - Google Chrome,chrome.exe
2025-05-01 20:56:52,(58) සානක ලොව භයානකම අපරාධකාරයා උන හැටි !! (An Exclusive ට්‍රැක් Content) - YouTube - Google Chrome,chrome.exe
2025-05-01 20:56:56,main.py - distract_free - Trae,Trae.exe
2025-05-01 20:56:58,(58) සානක ලොව භයානකම අපරාධකාරයා උන හැටි !! (An Exclusive ට්‍රැක් Content) - YouTube - Google Chrome,chrome.exe
2025-05-01 21:02:54,main.py - distract_free - Trae,Trae.exe
2025-05-01 21:03:09,Distraction Identification Tool - Google Chrome,chrome.exe
2025-05-01 21:04:52,WhatsApp,ApplicationFrameHost.exe
2025-05-01 21:08:14,Distraction Identification Tool - Google Chrome,chrome.exe
2025-05-01 21:08:24,main.py - distract_free - Trae,Trae.exe
2025-05-01 21:08:50,● main.py - distract_free - Trae,Trae.exe
2025-05-01 21:08:51,Distraction Identification Tool - Google Chrome,chrome.exe
2025-05-01 21:08:53,● main.py - distract_free - Trae,Trae.exe
2025-05-01 21:08:54,● README.md - distract_free - Trae,Trae.exe
2025-05-01 21:08:56,● window_activity_log.csv - distract_free - Trae,Trae.exe
2025-05-01 21:08:59,Trae,Trae.exe
2025-05-01 21:09:02,● window_activity_log.csv - distract_free - Trae,Trae.exe
2025-05-01 21:09:03,window_activity_log.csv - distract_free - Trae,Trae.exe
2025-05-01 21:09:05,● README.md - distract_free - Trae,Trae.exe
